file,trades,net_pnl,return_pct,win_rate,profit_factor
q_01_ema_pullback_continuation.py,20,204.42,4.06,55.0,2.843
q_02_adaptive_trend_breakout.py,25,323.89,6.44,60.0,3.392
q_03_rsi2_trend_snapback.py,50,117.79,2.29,68.0,1.879
q_04_bollinger_reentry_reversion.py,4,-39.41,-0.79,25.0,0.252
q_05_bollinger_squeeze_breakout.py,7,20.79,0.41,57.1,1.459
q_06_donchian_retest_breakout.py,25,194.51,3.86,40.0,2.324
q_07_nr7_expansion.py,32,243.87,4.83,50.0,2.396
q_08_inside_bar_breakout.py,13,391.9,7.82,84.6,13.301
q_09_three_bar_reversal.py,16,9.08,0.16,31.2,1.104
q_10_london_orb.py,2,54.45,1.09,100.0,inf
q_11_newyork_orb.py,3,68.29,1.36,66.7,6.877
q_12_asian_range_fade.py,3,-13.69,-0.28,33.3,0.191
q_13_vwap_reclaim.py,7,19.45,0.38,57.1,1.884
q_14_vwap_pullback_trend.py,12,49.92,0.98,50.0,2.434
q_15_macd_hist_reversal.py,23,64.87,1.27,47.8,1.467
q_16_keltner_channel_breakout.py,44,439.12,8.72,56.8,2.697
q_17_zscore_mean_reversion.py,9,-10.74,-0.23,44.4,0.831
q_18_stochastic_trend_reentry.py,15,-25.6,-0.53,46.7,0.708
q_19_range_break_volume.py,24,39.79,0.76,50.0,1.713
q_20_atr_compression_expansion.py,9,24.38,0.47,66.7,5.465
